Идентификатор канала,URL канала,Название канала
UCr5o-O2LPyxVb08MDjI53-Q,http://www.youtube.com/channel/UCr5o-O2LPyxVb08MDjI53-Q,GERASEV
UCrcweont1enc0tC0glD5l1w,http://www.youtube.com/channel/UCrcweont1enc0tC0glD5l1w,Thebox - о технике и гаджетах
UCrovV-U03gP-Prkn6HGRIjg,http://www.youtube.com/channel/UCrovV-U03gP-Prkn6HGRIjg,Топовский
UCrpt82vHWIWZSHtNQxncPrg,http://www.youtube.com/channel/UCrpt82vHWIWZSHtNQxncPrg,EdisonPts
UCsOMmOFBjR8I05CFZ64JyBA,http://www.youtube.com/channel/UCsOMmOFBjR8I05CFZ64JyBA,Пирожок с Ничем
UCsdBRmQGdqHW9jR-TXXQ2xw,http://www.youtube.com/channel/UCsdBRmQGdqHW9jR-TXXQ2xw,Sebastian Super Safecracker
UCsqvKSUCfliOIG4QMjdg8pA,http://www.youtube.com/channel/UCsqvKSUCfliOIG4QMjdg8pA,Имморталиус
UCt7sv-NKh44rHAEb-qCCxvA,http://www.youtube.com/channel/UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom
UCtB_aACPCviwLVW2VFHTRVQ,http://www.youtube.com/channel/UCtB_aACPCviwLVW2VFHTRVQ,Photoshop Tutorials by Webflippy
UCtNX4bdqJqsaCyJMJvzq-Fw,http://www.youtube.com/channel/UCtNX4bdqJqsaCyJMJvzq-Fw,Brawl Stars MMA
UCuVpbMt4yu4I9eAey3khnGg,http://www.youtube.com/channel/UCuVpbMt4yu4I9eAey3khnGg,AdMe
UCuZeiI5pdpgqDojXZujoYgg,http://www.youtube.com/channel/UCuZeiI5pdpgqDojXZujoYgg,Поззи
UCumRscO7uQ_CzmaEiR4vGxw,http://www.youtube.com/channel/UCumRscO7uQ_CzmaEiR4vGxw,VROCKO
UCuw1YgMJO07vY24o0zfGJ_A,http://www.youtube.com/channel/UCuw1YgMJO07vY24o0zfGJ_A,Yasmin Verissimo
UCv7Zff-RjwiRPlvn8g5fMog,http://www.youtube.com/channel/UCv7Zff-RjwiRPlvn8g5fMog,ПУШЕР
UCvDFat5rvAEBDzfa79w_arw,http://www.youtube.com/channel/UCvDFat5rvAEBDzfa79w_arw,lifexgames
UCvcY2Bxk6_DU0WfwwCROBsQ,http://www.youtube.com/channel/UCvcY2Bxk6_DU0WfwwCROBsQ,Пиксель
UCve3ohcLCBO5uFoQcFGZMPQ,http://www.youtube.com/channel/UCve3ohcLCBO5uFoQcFGZMPQ,Бустер
UCvo4dSGxJ3r0ZL6NQJIuG5Q,http://www.youtube.com/channel/UCvo4dSGxJ3r0ZL6NQJIuG5Q,tophype
UCwCJbD-bLZ316-Jxi6veshQ,http://www.youtube.com/channel/UCwCJbD-bLZ316-Jxi6veshQ,Всё о Смартфонах
UCwLt9iCxM856j1PRuinNGKg,http://www.youtube.com/channel/UCwLt9iCxM856j1PRuinNGKg,СКВАД
UCxm5_Y8j9Bn7LxrSHMMJ0Pw,http://www.youtube.com/channel/UCxm5_Y8j9Bn7LxrSHMMJ0Pw,Аришнев
UCy6p8krDY33mDRMt19YrlXg,http://www.youtube.com/channel/UCy6p8krDY33mDRMt19YrlXg,ЛИТВИН
UCz3k3iCV4zH4kpcJRDR1RdQ,http://www.youtube.com/channel/UCz3k3iCV4zH4kpcJRDR1RdQ,Texnoplov
UCzDPCRJHfPusmXd6zl8bE7w,http://www.youtube.com/channel/UCzDPCRJHfPusmXd6zl8bE7w,Cryptical Coder

